2024-06-04 22:05:56.278 [info] Started local extension host with pid 88297.
2024-06-04 22:05:58.911 [info] [perf] Render performance baseline is 28ms
2024-06-04 22:05:59.997 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.activeIconPack'. This property is already registered.
2024-06-04 22:05:59.997 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.files.associations'. This property is already registered.
2024-06-04 22:05:59.997 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.folders.associations'. This property is already registered.
2024-06-04 22:05:59.998 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.languages.associations'. This property is already registered.
2024-06-04 22:05:59.998 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.folders.theme'. This property is already registered.
2024-06-04 22:05:59.998 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.folders.color'. This property is already registered.
2024-06-04 22:05:59.998 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.opacity'. This property is already registered.
2024-06-04 22:05:59.998 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.hidesExplorerArrows'. This property is already registered.
2024-06-04 22:05:59.999 [warning] [cweijan.cweijan-personal-material-icon-theme]: Cannot register 'material-icon-theme.saturation'. This property is already registered.
2024-06-04 22:06:00.006 [info] [PKief.material-icon-theme]: Command `material-icon-theme.activateIcons` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.006 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleIconPacks` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.006 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeFolderTheme` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.006 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeFolderColor` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.006 [info] [PKief.material-icon-theme]: Command `material-icon-theme.restoreDefaultConfig` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.007 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleExplorerArrows` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.007 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeOpacity` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.007 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleGrayscale` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:06:00.007 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeSaturation` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.533 [info] [PKief.material-icon-theme]: Command `material-icon-theme.activateIcons` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.533 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleIconPacks` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.533 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeFolderTheme` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeFolderColor` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.restoreDefaultConfig` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleExplorerArrows` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeOpacity` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.toggleGrayscale` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
2024-06-04 22:16:18.534 [info] [PKief.material-icon-theme]: Command `material-icon-theme.changeSaturation` already registered by Material Icon Theme (cweijan.cweijan-personal-material-icon-theme)
